case,condition,seed,axis,axis_value,expert,count,fraction
P3b,B0,20260522,feature,5,0,0,0.0
P3b,B0,20260522,feature,5,1,0,0.0
P3b,B0,20260522,feature,5,2,64,1.0
P3b,B0,20260522,feature,5,3,0,0.0
P3b,B0,20260522,feature,6,0,0,0.0
P3b,B0,20260522,feature,6,1,0,0.0
P3b,B0,20260522,feature,6,2,64,1.0
P3b,B0,20260522,feature,6,3,0,0.0
P3b,B0,20260522,feature,7,0,0,0.0
P3b,B0,20260522,feature,7,1,0,0.0
P3b,B0,20260522,feature,7,2,64,1.0
P3b,B0,20260522,feature,7,3,0,0.0
P3b,B0,20260522,feature,8,0,0,0.0
P3b,B0,20260522,feature,8,1,0,0.0
P3b,B0,20260522,feature,8,2,0,0.0
P3b,B0,20260522,feature,8,3,64,1.0
P3b,B0,20260522,feature,9,0,0,0.0
P3b,B0,20260522,feature,9,1,0,0.0
P3b,B0,20260522,feature,9,2,0,0.0
P3b,B0,20260522,feature,9,3,64,1.0
P3b,B0,20260522,feature,10,0,0,0.0
P3b,B0,20260522,feature,10,1,0,0.0
P3b,B0,20260522,feature,10,2,0,0.0
P3b,B0,20260522,feature,10,3,64,1.0
P3b,B0,20260522,feature,11,0,0,0.0
P3b,B0,20260522,feature,11,1,0,0.0
P3b,B0,20260522,feature,11,2,0,0.0
P3b,B0,20260522,feature,11,3,64,1.0
P3b,B0,20260522,feature,12,0,64,1.0
P3b,B0,20260522,feature,12,1,0,0.0
P3b,B0,20260522,feature,12,2,0,0.0
P3b,B0,20260522,feature,12,3,0,0.0
P3b,B0,20260522,feature,13,0,64,1.0
P3b,B0,20260522,feature,13,1,0,0.0
P3b,B0,20260522,feature,13,2,0,0.0
P3b,B0,20260522,feature,13,3,0,0.0
P3b,B0,20260522,feature,14,0,0,0.0
P3b,B0,20260522,feature,14,1,64,1.0
P3b,B0,20260522,feature,14,2,0,0.0
P3b,B0,20260522,feature,14,3,0,0.0
P3b,B0,20260522,feature,15,0,64,1.0
P3b,B0,20260522,feature,15,1,0,0.0
P3b,B0,20260522,feature,15,2,0,0.0
P3b,B0,20260522,feature,15,3,0,0.0
P3b,B0,20260522,family,0,0,192,0.75
P3b,B0,20260522,family,0,1,0,0.0
P3b,B0,20260522,family,0,2,64,0.25
P3b,B0,20260522,family,0,3,0,0.0
P3b,B0,20260522,family,1,0,0,0.0
P3b,B0,20260522,family,1,1,0,0.0
P3b,B0,20260522,family,1,2,256,1.0
P3b,B0,20260522,family,1,3,0,0.0
P3b,B0,20260522,family,2,0,0,0.0
P3b,B0,20260522,family,2,1,0,0.0
P3b,B0,20260522,family,2,2,0,0.0
P3b,B0,20260522,family,2,3,256,1.0
P3b,B0,20260522,family,3,0,192,0.75
P3b,B0,20260522,family,3,1,64,0.25
P3b,B0,20260522,family,3,2,0,0.0
P3b,B0,20260522,family,3,3,0,0.0
P3b,B0,20260523,feature,0,0,0,0.0
P3b,B0,20260523,feature,0,1,0,0.0
P3b,B0,20260523,feature,0,2,0,0.0
P3b,B0,20260523,feature,0,3,64,1.0
P3b,B0,20260523,feature,1,0,64,1.0
P3b,B0,20260523,feature,1,1,0,0.0
P3b,B0,20260523,feature,1,2,0,0.0
P3b,B0,20260523,feature,1,3,0,0.0
P3b,B0,20260523,feature,2,0,0,0.0
P3b,B0,20260523,feature,2,1,0,0.0
P3b,B0,20260523,feature,2,2,0,0.0
P3b,B0,20260523,feature,2,3,64,1.0
P3b,B0,20260523,feature,3,0,0,0.0
P3b,B0,20260523,feature,3,1,0,0.0
P3b,B0,20260523,feature,3,2,0,0.0
P3b,B0,20260523,feature,3,3,64,1.0
P3b,B0,20260523,feature,4,0,0,0.0
P3b,B0,20260523,feature,4,1,0,0.0
P3b,B0,20260523,feature,4,2,0,0.0
P3b,B0,20260523,feature,4,3,64,1.0
P3b,B0,20260523,feature,5,0,0,0.0
P3b,B0,20260523,feature,5,1,0,0.0
P3b,B0,20260523,feature,5,2,0,0.0
P3b,B0,20260523,feature,5,3,64,1.0
P3b,B0,20260523,feature,6,0,0,0.0
P3b,B0,20260523,feature,6,1,0,0.0
P3b,B0,20260523,feature,6,2,0,0.0
P3b,B0,20260523,feature,6,3,64,1.0
P3b,B0,20260523,feature,7,0,0,0.0
P3b,B0,20260523,feature,7,1,0,0.0
P3b,B0,20260523,feature,7,2,0,0.0
P3b,B0,20260523,feature,7,3,64,1.0
P3b,B0,20260523,feature,8,0,0,0.0
P3b,B0,20260523,feature,8,1,0,0.0
P3b,B0,20260523,feature,8,2,0,0.0
P3b,B0,20260523,feature,8,3,64,1.0
P3b,B0,20260523,feature,9,0,0,0.0
P3b,B0,20260523,feature,9,1,64,1.0
P3b,B0,20260523,feature,9,2,0,0.0
P3b,B0,20260523,feature,9,3,0,0.0
P3b,B0,20260523,feature,10,0,64,1.0
P3b,B0,20260523,feature,10,1,0,0.0
P3b,B0,20260523,feature,10,2,0,0.0
P3b,B0,20260523,feature,10,3,0,0.0
P3b,B0,20260523,feature,11,0,0,0.0
P3b,B0,20260523,feature,11,1,0,0.0
P3b,B0,20260523,feature,11,2,0,0.0
P3b,B0,20260523,feature,11,3,64,1.0
P3b,B0,20260523,feature,12,0,0,0.0
P3b,B0,20260523,feature,12,1,0,0.0
P3b,B0,20260523,feature,12,2,0,0.0
P3b,B0,20260523,feature,12,3,64,1.0
P3b,B0,20260523,feature,13,0,0,0.0
P3b,B0,20260523,feature,13,1,0,0.0
P3b,B0,20260523,feature,13,2,0,0.0
P3b,B0,20260523,feature,13,3,64,1.0
P3b,B0,20260523,feature,14,0,0,0.0
P3b,B0,20260523,feature,14,1,0,0.0
P3b,B0,20260523,feature,14,2,0,0.0
P3b,B0,20260523,feature,14,3,64,1.0
P3b,B0,20260523,feature,15,0,0,0.0
P3b,B0,20260523,feature,15,1,0,0.0
P3b,B0,20260523,feature,15,2,0,0.0
P3b,B0,20260523,feature,15,3,64,1.0
P3b,B0,20260523,family,0,0,64,0.25
P3b,B0,20260523,family,0,1,0,0.0
P3b,B0,20260523,family,0,2,0,0.0
P3b,B0,20260523,family,0,3,192,0.75
P3b,B0,20260523,family,1,0,0,0.0
P3b,B0,20260523,family,1,1,0,0.0
P3b,B0,20260523,family,1,2,0,0.0
P3b,B0,20260523,family,1,3,256,1.0
P3b,B0,20260523,family,2,0,64,0.25
P3b,B0,20260523,family,2,1,64,0.25
P3b,B0,20260523,family,2,2,0,0.0
P3b,B0,20260523,family,2,3,128,0.5
P3b,B0,20260523,family,3,0,0,0.0
P3b,B0,20260523,family,3,1,0,0.0
P3b,B0,20260523,family,3,2,0,0.0
P3b,B0,20260523,family,3,3,256,1.0
P3b,I1,20260521,feature,0,0,0,0.0
P3b,I1,20260521,feature,0,1,64,1.0
P3b,I1,20260521,feature,0,2,0,0.0
P3b,I1,20260521,feature,0,3,0,0.0
P3b,I1,20260521,feature,1,0,0,0.0
P3b,I1,20260521,feature,1,1,64,1.0
P3b,I1,20260521,feature,1,2,0,0.0
P3b,I1,20260521,feature,1,3,0,0.0
P3b,I1,20260521,feature,2,0,0,0.0
P3b,I1,20260521,feature,2,1,64,1.0
P3b,I1,20260521,feature,2,2,0,0.0
P3b,I1,20260521,feature,2,3,0,0.0
P3b,I1,20260521,feature,3,0,0,0.0
P3b,I1,20260521,feature,3,1,64,1.0
P3b,I1,20260521,feature,3,2,0,0.0
P3b,I1,20260521,feature,3,3,0,0.0
P3b,I1,20260521,feature,4,0,0,0.0
P3b,I1,20260521,feature,4,1,64,1.0
P3b,I1,20260521,feature,4,2,0,0.0
P3b,I1,20260521,feature,4,3,0,0.0
P3b,I1,20260521,feature,5,0,0,0.0
P3b,I1,20260521,feature,5,1,64,1.0
P3b,I1,20260521,feature,5,2,0,0.0
P3b,I1,20260521,feature,5,3,0,0.0
P3b,I1,20260521,feature,6,0,0,0.0
P3b,I1,20260521,feature,6,1,64,1.0
P3b,I1,20260521,feature,6,2,0,0.0
P3b,I1,20260521,feature,6,3,0,0.0
P3b,I1,20260521,feature,7,0,0,0.0
P3b,I1,20260521,feature,7,1,64,1.0
P3b,I1,20260521,feature,7,2,0,0.0
P3b,I1,20260521,feature,7,3,0,0.0
P3b,I1,20260521,feature,8,0,0,0.0
P3b,I1,20260521,feature,8,1,64,1.0
P3b,I1,20260521,feature,8,2,0,0.0
P3b,I1,20260521,feature,8,3,0,0.0
P3b,I1,20260521,feature,9,0,0,0.0
P3b,I1,20260521,feature,9,1,64,1.0
P3b,I1,20260521,feature,9,2,0,0.0
P3b,I1,20260521,feature,9,3,0,0.0
P3b,I1,20260521,feature,10,0,0,0.0
P3b,I1,20260521,feature,10,1,64,1.0
P3b,I1,20260521,feature,10,2,0,0.0
P3b,I1,20260521,feature,10,3,0,0.0
P3b,I1,20260521,feature,11,0,0,0.0
P3b,I1,20260521,feature,11,1,64,1.0
P3b,I1,20260521,feature,11,2,0,0.0
P3b,I1,20260521,feature,11,3,0,0.0
P3b,I1,20260521,feature,12,0,0,0.0
P3b,I1,20260521,feature,12,1,64,1.0
P3b,I1,20260521,feature,12,2,0,0.0
P3b,I1,20260521,feature,12,3,0,0.0
P3b,I1,20260521,feature,13,0,0,0.0
P3b,I1,20260521,feature,13,1,64,1.0
P3b,I1,20260521,feature,13,2,0,0.0
P3b,I1,20260521,feature,13,3,0,0.0
P3b,I1,20260521,feature,14,0,0,0.0
P3b,I1,20260521,feature,14,1,64,1.0
P3b,I1,20260521,feature,14,2,0,0.0
P3b,I1,20260521,feature,14,3,0,0.0
P3b,I1,20260521,feature,15,0,0,0.0
P3b,I1,20260521,feature,15,1,64,1.0
P3b,I1,20260521,feature,15,2,0,0.0
P3b,I1,20260521,feature,15,3,0,0.0
P3b,I1,20260521,family,0,0,0,0.0
P3b,I1,20260521,family,0,1,256,1.0
P3b,I1,20260521,family,0,2,0,0.0
P3b,I1,20260521,family,0,3,0,0.0
P3b,I1,20260521,family,1,0,0,0.0
P3b,I1,20260521,family,1,1,256,1.0
P3b,I1,20260521,family,1,2,0,0.0
P3b,I1,20260521,family,1,3,0,0.0
P3b,I1,20260521,family,2,0,0,0.0
P3b,I1,20260521,family,2,1,256,1.0
P3b,I1,20260521,family,2,2,0,0.0
P3b,I1,20260521,family,2,3,0,0.0
P3b,I1,20260521,family,3,0,0,0.0
P3b,I1,20260521,family,3,1,256,1.0
P3b,I1,20260521,family,3,2,0,0.0
P3b,I1,20260521,family,3,3,0,0.0
P3b,I1,20260522,feature,0,0,0,0.0
P3b,I1,20260522,feature,0,1,0,0.0
P3b,I1,20260522,feature,0,2,64,1.0
P3b,I1,20260522,feature,0,3,0,0.0
P3b,I1,20260522,feature,1,0,0,0.0
P3b,I1,20260522,feature,1,1,0,0.0
P3b,I1,20260522,feature,1,2,64,1.0
P3b,I1,20260522,feature,1,3,0,0.0
P3b,I1,20260522,feature,2,0,0,0.0
P3b,I1,20260522,feature,2,1,0,0.0
P3b,I1,20260522,feature,2,2,64,1.0
P3b,I1,20260522,feature,2,3,0,0.0
P3b,I1,20260522,feature,3,0,0,0.0
P3b,I1,20260522,feature,3,1,0,0.0
P3b,I1,20260522,feature,3,2,64,1.0
P3b,I1,20260522,feature,3,3,0,0.0
P3b,I1,20260522,feature,4,0,0,0.0
P3b,I1,20260522,feature,4,1,0,0.0
P3b,I1,20260522,feature,4,2,64,1.0
P3b,I1,20260522,feature,4,3,0,0.0
P3b,I1,20260522,feature,5,0,0,0.0
P3b,I1,20260522,feature,5,1,0,0.0
P3b,I1,20260522,feature,5,2,64,1.0
P3b,I1,20260522,feature,5,3,0,0.0
P3b,I1,20260522,feature,6,0,64,1.0
P3b,I1,20260522,feature,6,1,0,0.0
P3b,I1,20260522,feature,6,2,0,0.0
P3b,I1,20260522,feature,6,3,0,0.0
P3b,I1,20260522,feature,7,0,64,1.0
P3b,I1,20260522,feature,7,1,0,0.0
P3b,I1,20260522,feature,7,2,0,0.0
P3b,I1,20260522,feature,7,3,0,0.0
P3b,I1,20260522,feature,8,0,0,0.0
P3b,I1,20260522,feature,8,1,0,0.0
P3b,I1,20260522,feature,8,2,0,0.0
P3b,I1,20260522,feature,8,3,64,1.0
P3b,I1,20260522,feature,9,0,0,0.0
P3b,I1,20260522,feature,9,1,0,0.0
P3b,I1,20260522,feature,9,2,0,0.0
P3b,I1,20260522,feature,9,3,64,1.0
P3b,I1,20260522,feature,10,0,0,0.0
P3b,I1,20260522,feature,10,1,0,0.0
P3b,I1,20260522,feature,10,2,0,0.0
P3b,I1,20260522,feature,10,3,64,1.0
P3b,I1,20260522,feature,11,0,0,0.0
P3b,I1,20260522,feature,11,1,0,0.0
P3b,I1,20260522,feature,11,2,0,0.0
P3b,I1,20260522,feature,11,3,64,1.0
P3b,I1,20260522,feature,12,0,64,1.0
P3b,I1,20260522,feature,12,1,0,0.0
P3b,I1,20260522,feature,12,2,0,0.0
P3b,I1,20260522,feature,12,3,0,0.0
P3b,I1,20260522,feature,13,0,64,1.0
P3b,I1,20260522,feature,13,1,0,0.0
P3b,I1,20260522,feature,13,2,0,0.0
P3b,I1,20260522,feature,13,3,0,0.0
P3b,I1,20260522,feature,14,0,0,0.0
P3b,I1,20260522,feature,14,1,64,1.0
P3b,I1,20260522,feature,14,2,0,0.0
P3b,I1,20260522,feature,14,3,0,0.0
P3b,I1,20260522,feature,15,0,64,1.0
P3b,I1,20260522,feature,15,1,0,0.0
P3b,I1,20260522,feature,15,2,0,0.0
P3b,I1,20260522,feature,15,3,0,0.0
P3b,I1,20260522,family,0,0,0,0.0
P3b,I1,20260522,family,0,1,0,0.0
P3b,I1,20260522,family,0,2,256,1.0
P3b,I1,20260522,family,0,3,0,0.0
P3b,I1,20260522,family,1,0,128,0.5
P3b,I1,20260522,family,1,1,0,0.0
P3b,I1,20260522,family,1,2,128,0.5
P3b,I1,20260522,family,1,3,0,0.0
P3b,I1,20260522,family,2,0,0,0.0
P3b,I1,20260522,family,2,1,0,0.0
P3b,I1,20260522,family,2,2,0,0.0
P3b,I1,20260522,family,2,3,256,1.0
P3b,I1,20260522,family,3,0,192,0.75
P3b,I1,20260522,family,3,1,64,0.25
P3b,I1,20260522,family,3,2,0,0.0
P3b,I1,20260522,family,3,3,0,0.0
P3b,I1,20260523,feature,0,0,0,0.0
P3b,I1,20260523,feature,0,1,0,0.0
P3b,I1,20260523,feature,0,2,0,0.0
P3b,I1,20260523,feature,0,3,64,1.0
P3b,I1,20260523,feature,1,0,0,0.0
P3b,I1,20260523,feature,1,1,0,0.0
P3b,I1,20260523,feature,1,2,0,0.0
P3b,I1,20260523,feature,1,3,64,1.0
P3b,I1,20260523,feature,2,0,0,0.0
P3b,I1,20260523,feature,2,1,0,0.0
P3b,I1,20260523,feature,2,2,0,0.0
P3b,I1,20260523,feature,2,3,64,1.0
P3b,I1,20260523,feature,3,0,0,0.0
P3b,I1,20260523,feature,3,1,0,0.0
P3b,I1,20260523,feature,3,2,0,0.0
P3b,I1,20260523,feature,3,3,64,1.0
P3b,I1,20260523,feature,4,0,0,0.0
P3b,I1,20260523,feature,4,1,0,0.0
P3b,I1,20260523,feature,4,2,0,0.0
P3b,I1,20260523,feature,4,3,64,1.0
P3b,I1,20260523,feature,5,0,0,0.0
P3b,I1,20260523,feature,5,1,0,0.0
P3b,I1,20260523,feature,5,2,0,0.0
P3b,I1,20260523,feature,5,3,64,1.0
P3b,I1,20260523,feature,6,0,0,0.0
P3b,I1,20260523,feature,6,1,0,0.0
P3b,I1,20260523,feature,6,2,0,0.0
P3b,I1,20260523,feature,6,3,64,1.0
P3b,I1,20260523,feature,7,0,0,0.0
P3b,I1,20260523,feature,7,1,0,0.0
P3b,I1,20260523,feature,7,2,0,0.0
P3b,I1,20260523,feature,7,3,64,1.0
P3b,I1,20260523,feature,8,0,0,0.0
P3b,I1,20260523,feature,8,1,0,0.0
P3b,I1,20260523,feature,8,2,0,0.0
P3b,I1,20260523,feature,8,3,64,1.0
P3b,I1,20260523,feature,9,0,0,0.0
P3b,I1,20260523,feature,9,1,0,0.0
P3b,I1,20260523,feature,9,2,0,0.0
P3b,I1,20260523,feature,9,3,64,1.0
P3b,I1,20260523,feature,10,0,0,0.0
P3b,I1,20260523,feature,10,1,0,0.0
P3b,I1,20260523,feature,10,2,0,0.0
P3b,I1,20260523,feature,10,3,64,1.0
P3b,I1,20260523,feature,11,0,0,0.0
P3b,I1,20260523,feature,11,1,0,0.0
P3b,I1,20260523,feature,11,2,0,0.0
P3b,I1,20260523,feature,11,3,64,1.0
P3b,I1,20260523,feature,12,0,0,0.0
P3b,I1,20260523,feature,12,1,0,0.0
P3b,I1,20260523,feature,12,2,0,0.0
P3b,I1,20260523,feature,12,3,64,1.0
P3b,I1,20260523,feature,13,0,0,0.0
P3b,I1,20260523,feature,13,1,0,0.0
P3b,I1,20260523,feature,13,2,0,0.0
P3b,I1,20260523,feature,13,3,64,1.0
P3b,I1,20260523,feature,14,0,0,0.0
P3b,I1,20260523,feature,14,1,0,0.0
P3b,I1,20260523,feature,14,2,0,0.0
P3b,I1,20260523,feature,14,3,64,1.0
P3b,I1,20260523,feature,15,0,0,0.0
P3b,I1,20260523,feature,15,1,0,0.0
P3b,I1,20260523,feature,15,2,0,0.0
P3b,I1,20260523,feature,15,3,64,1.0
P3b,I1,20260523,family,0,0,0,0.0
P3b,I1,20260523,family,0,1,0,0.0
P3b,I1,20260523,family,0,2,0,0.0
P3b,I1,20260523,family,0,3,256,1.0
P3b,I1,20260523,family,1,0,0,0.0
P3b,I1,20260523,family,1,1,0,0.0
P3b,I1,20260523,family,1,2,0,0.0
P3b,I1,20260523,family,1,3,256,1.0
P3b,I1,20260523,family,2,0,0,0.0
P3b,I1,20260523,family,2,1,0,0.0
P3b,I1,20260523,family,2,2,0,0.0
P3b,I1,20260523,family,2,3,256,1.0
P3b,I1,20260523,family,3,0,0,0.0
P3b,I1,20260523,family,3,1,0,0.0
P3b,I1,20260523,family,3,2,0,0.0
P3b,I1,20260523,family,3,3,256,1.0
